name,price,original_price,discount,url
glitchez Printed Relaxed Fit T-shirt,Rs. 599,N/A,N/A,https://www.myntra.com/tshirts/glitchez/glitchez-street-vibe-typography-printed-relaxed-fit-t-shirt/31426811/buy
Puma Graphic Printed Slim Fit Tee,Rs. 599,Rs. 1499,(60% OFF),https://www.myntra.com/tshirts/puma/-puma-striped-logo-graphic-printed-slim-fit-tee/31636890/buy
Maniac Striped Round Neck T-shirt,Rs. 486,Rs. 1569,(69% OFF),https://www.myntra.com/tshirts/maniac/maniac-striped-round-neck-t-shirt/28727814/buy
The Indian Garage Co Men Polo Collar T-shirt,Rs. 387,Rs. 1549,(75% OFF),https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-men-polo-collar-t-shirt/23053374/buy
Roadster Colourblocked Round Neck Pure Cotton T-shirt,Rs. 339,Rs. 999,(66% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-white--mustard-yellow-colourblocked-round-neck-pure-cotton-t-shirt/12504566/buy
Kook N Keech Men Polo Collar T-shirt,Rs. 299,Rs. 1499,(80% OFF),https://www.myntra.com/tshirts/kook+n+keech/kook-n-keech-men-polo-collar-pure-cotton-t-shirt/31322723/buy
HRX by Hrithik Roshan Rapid-Dry Running T-shirt,Rs. 237,Rs. 699,(66% OFF),https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-printed-rapid-dry-running-t-shirt/25861106/buy
U.S. Polo Assn. Pure Cotton Lounge T-shirt,Rs. 594,Rs. 699,(15% OFF),https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-pure-cotton-v-neck-lounge-t-shirt/22492606/buy
Mast & Harbour Men Striped Polo Collar T-shirt,Rs. 324,Rs. 1299,(75% OFF),https://www.myntra.com/tshirts/mast+%26+harbour/mast--harbour-men-striped-polo-collar-t-shirt/26162826/buy
StyleCast x Revolte Printed V-Neck T-shirt,Rs. 899,Rs. 2249,(60% OFF),https://www.myntra.com/tshirts/stylecast+x+revolte/stylecast-x-revolte-graphic-printed-v-neck-t-shirt/32485868/buy
Lux Cozi Polo Collar Lounge Tshirts,Rs. 380,N/A,N/A,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138196/buy
max Pack of 3 Cotton T-shirts,Rs. 636,Rs. 749,(15% OFF),https://www.myntra.com/lounge-tshirts/max/max-men-pack-of-3-solid-t-shirt-/30250880/buy
StyleCast x Revolte Men Solid T-shirt,Rs. 1656,Rs. 3249,(49% OFF),https://www.myntra.com/tshirts/stylecast+x+revolte/stylecast-x-revolte-men-solid-henley-neck-t-shirt/31693064/buy
Jack & Jones Men Solid Lounge T-shirt,Rs. 419,Rs. 699,(40% OFF),https://www.myntra.com/lounge-tshirts/jack+%26+jones/jack--jones-men-navy-blue-solid-cotton-lounge-t-shirt/18389666/buy
Puma Men Printed Cotton T-Shirt,Rs. 599,Rs. 1499,(60% OFF),https://www.myntra.com/tshirts/puma/-puma-men-printed-cotton-slim-fit-t-shirt/31636884/buy
Aeropostale Striped Pure Cotton T-shirt,Rs. 619,Rs. 1999,(69% OFF),https://www.myntra.com/tshirts/aeropostale/aeropostale-relaxed-fit-striped-drop-shoulder-sleeves-pure-cotton-t-shirt/30319744/buy
Snitch Striped Slim Fit T-shirt,Rs. 659,Rs. 1199,(45% OFF),https://www.myntra.com/tshirts/snitch/snitch-polo-collar-short-sleeves-cotton-striped-slim-fit-t-shirt/28051142/buy
Puma Men Logo Graphic Slim Fit Tee,Rs. 639,Rs. 1599,(60% OFF),https://www.myntra.com/tshirts/puma/puma-men-logo-graphic-slim-fit-tee/31636873/buy
StyleCast x Revolte Men Cotton Regular Fit T-shirt,Rs. 1474,Rs. 2949,(50% OFF),https://www.myntra.com/tshirts/stylecast+x+revolte/stylecast-x-revolte-men-cotton-regular-fit-scoop-neck-t-shirt/30934451/buy
